sample	tissue
Cornea-1	cornea
Cornea-10	cornea
Cornea-15	cornea
Cornea-17	cornea
Cornea-2	cornea
Cornea-3	cornea
Cornea-7	cornea
MacRPE-13	macRPE
MacRPE-15	macRPE
MacRPE-16	macRPE
MacRPE-18	macRPE
MacRPE-7	macRPE
MacRPE-9	macRPE
Macula-10	macula
Macula-11	macula
Macula-12	macula
Macula-13	macula
Macula-14	macula
Macula-16	macula
Macula-17	macula
Macula-18	macula
Macula-19	macula
Macula-4	macula
Macula-6	macula
Macula-8	macula
Retina-10	retina
Retina-11	retina
Retina-12	retina
Retina-13	retina
Retina-14	retina
Retina-16	retina
Retina-17	retina
Retina-18	retina
Retina-19	retina
Retina-4	retina
Retina-6	retina
Retina-8	retina
